case_id,entry_id,object_id,fill_throughput (ops/s),run_throughput (ops/s)
17,0,6,120051635,152693660
17,0,7,112034831,132104062
17,0,15,19412457,28244471
17,0,17,100312203,110014531
17,0,20,238821580,224820314
18,0,6,120482700,321865055
18,0,7,112034831,171897704
18,0,15,18840220,72652229
18,0,17,98400093,145068880
18,0,20,245820014,266940588
19,0,6,120051635,432960412
19,0,7,112598765,218595648
19,0,15,18688071,550072655
19,0,17,103403488,159025744
19,0,20,240533562,263172015
20,0,6,121354184,151146090
20,0,7,81940004,130944124
20,0,15,19097570,24855134
20,0,17,100162483,130561992
20,0,20,123361882,273355861
21,0,6,120266781,339791716
21,0,7,111662003,148635357
21,0,15,18787475,54185598
21,0,17,98400093,274249546
21,0,20,123589068,496000473
22,0,6,120051635,450395060
22,0,7,83781353,166523235
22,0,15,19548168,482797582
22,0,17,103403488,512281404
22,0,20,124737665,691843958
17,1,6,25771453,38000489
17,1,7,65664250,60079555
17,1,15,4239347,5208900
17,1,18,29852697,31381278
17,1,21,22679575,32993541
18,1,6,25830971,123611832
18,1,7,66642367,101927193
18,1,15,4199027,21004996
18,1,18,30311140,48103264
18,1,21,23221060,71552259
19,1,6,26662242,269513510
19,1,7,69615004,128315227
19,1,15,4243099,229040491
19,1,18,30727501,56346653
19,1,21,22779655,106353191
20,1,6,26462485,38238668
20,1,7,64219008,53345678
20,1,15,4234264,5231232
20,1,18,29395034,37428256
20,1,21,22527312,34843646
21,1,6,26173503,126429660
21,1,7,66247644,71651573
21,1,15,4215116,21070286
21,1,18,29420808,87529495
21,1,21,22958899,99435270
22,1,6,26472924,260111875
22,1,7,68759081,101372906
22,1,15,4202709,219310013
22,1,18,30393507,130308473
22,1,21,23481058,117118436
